Customer ID,total_spend,purchase_frequency,avg_order_value,discounted_spend,promo_code_orders,discount_rate,promo_order_ratio,frequency_loyalty_score,frequency_loyalty_segment,revenue_loyalty_score,revenue_loyalty_segment,Review Rating,promo_dependency_segment,is_ideal_customer
1,53,1,53.0,53,1,1.0,1.0,1,Single Frequency,53,Medium Revenue,3.1,High Promo Dependency,False
2,64,1,64.0,64,1,1.0,1.0,1,Single Frequency,64,High Revenue,3.1,High Promo Dependency,False
3,73,1,73.0,73,1,1.0,1.0,1,Single Frequency,73,High Revenue,3.1,High Promo Dependency,False
4,90,1,90.0,90,1,1.0,1.0,1,Single Frequency,90,Very High Revenue,3.5,High Promo Dependency,False
5,49,1,49.0,49,1,1.0,1.0,1,Single Frequency,49,Medium Revenue,2.7,High Promo Dependency,False
6,20,1,20.0,20,1,1.0,1.0,1,Single Frequency,20,Low Revenue,2.9,High Promo Dependency,False
7,85,1,85.0,85,1,1.0,1.0,1,Single Frequency,85,Very High Revenue,3.2,High Promo Dependency,False
8,34,1,34.0,34,1,1.0,1.0,1,Single Frequency,34,Low Revenue,3.2,High Promo Dependency,False
9,97,1,97.0,97,1,1.0,1.0,1,Single Frequency,97,Very High Revenue,2.6,High Promo Dependency,False
10,31,1,31.0,31,1,1.0,1.0,1,Single Frequency,31,Low Revenue,4.8,High Promo Dependency,False
11,34,1,34.0,34,1,1.0,1.0,1,Single Frequency,34,Low Revenue,4.1,High Promo Dependency,False
12,68,1,68.0,68,1,1.0,1.0,1,Single Frequency,68,High Revenue,4.9,High Promo Dependency,False
13,72,1,72.0,72,1,1.0,1.0,1,Single Frequency,72,High Revenue,4.5,High Promo Dependency,False
14,51,1,51.0,51,1,1.0,1.0,1,Single Frequency,51,Medium Revenue,4.7,High Promo Dependency,False
15,53,1,53.0,53,1,1.0,1.0,1,Single Frequency,53,Medium Revenue,4.7,High Promo Dependency,False
16,81,1,81.0,81,1,1.0,1.0,1,Single Frequency,81,High Revenue,2.8,High Promo Dependency,False
17,36,1,36.0,36,1,1.0,1.0,1,Single Frequency,36,Low Revenue,4.1,High Promo Dependency,False
18,38,1,38.0,38,1,1.0,1.0,1,Single Frequency,38,Low Revenue,4.7,High Promo Dependency,False
19,48,1,48.0,48,1,1.0,1.0,1,Single Frequency,48,Medium Revenue,4.6,High Promo Dependency,False
20,90,1,90.0,90,1,1.0,1.0,1,Single Frequency,90,Very High Revenue,3.3,High Promo Dependency,False
21,51,1,51.0,51,1,1.0,1.0,1,Single Frequency,51,Medium Revenue,2.8,High Promo Dependency,False
22,62,1,62.0,62,1,1.0,1.0,1,Single Frequency,62,High Revenue,4.1,High Promo Dependency,False
23,37,1,37.0,37,1,1.0,1.0,1,Single Frequency,37,Low Revenue,3.2,High Promo Dependency,False
24,88,1,88.0,88,1,1.0,1.0,1,Single Frequency,88,Very High Revenue,4.4,High Promo Dependency,False
25,22,1,22.0,22,1,1.0,1.0,1,Single Frequency,22,Low Revenue,2.9,High Promo Dependency,False
26,25,1,25.0,25,1,1.0,1.0,1,Single Frequency,25,Low Revenue,3.6,High Promo Dependency,False
27,20,1,20.0,20,1,1.0,1.0,1,Single Frequency,20,Low Revenue,3.6,High Promo Dependency,False
28,56,1,56.0,56,1,1.0,1.0,1,Single Frequency,56,Medium Revenue,5.0,High Promo Dependency,False
29,94,1,94.0,94,1,1.0,1.0,1,Single Frequency,94,Very High Revenue,4.4,High Promo Dependency,False
30,48,1,48.0,48,1,1.0,1.0,1,Single Frequency,48,Medium Revenue,4.1,High Promo Dependency,False
31,31,1,31.0,31,1,1.0,1.0,1,Single Frequency,31,Low Revenue,4.7,High Promo Dependency,False
32,79,1,79.0,79,1,1.0,1.0,1,Single Frequency,79,High Revenue,4.7,High Promo Dependency,False
33,67,1,67.0,67,1,1.0,1.0,1,Single Frequency,67,High Revenue,4.9,High Promo Dependency,False
34,38,1,38.0,38,1,1.0,1.0,1,Single Frequency,38,Low Revenue,3.3,High Promo Dependency,False
35,91,1,91.0,91,1,1.0,1.0,1,Single Frequency,91,Very High Revenue,4.6,High Promo Dependency,False
36,33,1,33.0,33,1,1.0,1.0,1,Single Frequency,33,Low Revenue,4.0,High Promo Dependency,False
37,69,1,69.0,69,1,1.0,1.0,1,Single Frequency,69,High Revenue,4.6,High Promo Dependency,False
38,45,1,45.0,45,1,1.0,1.0,1,Single Frequency,45,Medium Revenue,2.8,High Promo Dependency,False
